"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
40,"Simpson diversity",-2,103.3,5,"Island",0,"Z",0,"Bats",2
40,"Shannon diversity",-2,103.3,5,"Island",0,"Z",0,"Bats",2
40,"Species richness",-2,103.3,5,"Island",0,"Z",0,"Bats",2
41,"Species richness",-2,103.2,10,"Island",1,"A",25,"Bats",1
41,"Simpson diversity",-2,103.2,10,"Island",1,"A",25,"Bats",1
41,"Shannon diversity",-2,103.2,10,"Island",1,"A",25,"Bats",1
42,"Species richness",-2,103.2,5,"Island",1,"D",6,"Bats",3
42,"Shannon diversity",-2,103.2,5,"Island",1,"D",6,"Bats",3
42,"Simpson diversity",-2,103.2,5,"Island",1,"D",6,"Bats",3
43,"Shannon diversity",-1.9,103.3,40,"Island",1,"C",400,"Bats",1
43,"Species richness",-1.9,103.3,40,"Island",1,"C",400,"Bats",1
43,"Simpson diversity",-1.9,103.3,40,"Island",1,"C",400,"Bats",1
44,"Simpson diversity",-2,103.2,5,"Island",3,"BEF",6,"Bats",1
44,"Shannon diversity",-2,103.2,5,"Island",3,"BEF",6,"Bats",1
44,"Species richness",-2,103.2,5,"Island",3,"BEF",6,"Bats",1
45,"Simpson diversity",-2,103.2,40,"Island",1,"E",400,"Bats",1
45,"Species richness",-2,103.2,40,"Island",1,"E",400,"Bats",1
45,"Shannon diversity",-2,103.2,40,"Island",1,"E",400,"Bats",1
46,"Species richness",-2,103.2,40,"Island",2,"AB",400,"Bats",2
46,"Simpson diversity",-2,103.2,40,"Island",2,"AB",400,"Bats",2
46,"Shannon diversity",-2,103.2,40,"Island",2,"AB",400,"Bats",2
47,"Shannon diversity",-2,103.2,20,"Island",2,"BE",100,"Bats",2.8
47,"Simpson diversity",-2,103.2,20,"Island",2,"BE",100,"Bats",2.7
47,"Species richness",-2,103.2,20,"Island",2,"BE",100,"Bats",3
48,"Shannon diversity",-2,103.2,10,"Island",3,"CEF",24,"Bats",1
48,"Simpson diversity",-2,103.2,10,"Island",3,"CEF",24,"Bats",1
48,"Species richness",-2,103.2,10,"Island",3,"CEF",24,"Bats",1
49,"Simpson diversity",-2,103.2,40,"Island",1,"F",400,"Bats",2
49,"Species richness",-2,103.2,40,"Island",1,"F",400,"Bats",2
49,"Shannon diversity",-2,103.2,40,"Island",1,"F",400,"Bats",2
50,"Simpson diversity",-2,103.2,5,"Island",6,"ABCDEF",6,"Bats",3
50,"Species richness",-2,103.2,5,"Island",6,"ABCDEF",6,"Bats",3
50,"Shannon diversity",-2,103.2,5,"Island",6,"ABCDEF",6,"Bats",3
51,"Shannon diversity",-2,103.2,20,"Island",1,"A",100,"Bats",2
51,"Species richness",-2,103.2,20,"Island",1,"A",100,"Bats",2
51,"Simpson diversity",-2,103.2,20,"Island",1,"A",100,"Bats",2
52,"Shannon diversity",-2,103.2,40,"Island",1,"D",400,"Bats",2
52,"Simpson diversity",-2,103.2,40,"Island",1,"D",400,"Bats",2
52,"Species richness",-2,103.2,40,"Island",1,"D",400,"Bats",2
53,"Simpson diversity",-1.9,103.3,10,"Control",,,0,"Bats",1
