"PlotID","Hill","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Taxa","Diversity"
36,"Species richness",-1.951,103.248,20,"Island",2,"AF",100,"Bats",0.5
36,"Simpson diversity",-1.951,103.248,20,"Island",2,"AF",100,"Bats",0.45
36,"Shannon diversity",-1.951,103.248,20,"Island",2,"AF",100,"Bats",0.472
37,"Simpson diversity",-1.951,103.249,10,"Island",0,"Z",0,"Bats",1
37,"Shannon diversity",-1.951,103.249,10,"Island",0,"Z",0,"Bats",1
37,"Species richness",-1.951,103.249,10,"Island",0,"Z",0,"Bats",1
38,"Shannon diversity",-1.952,103.25,20,"Island",1,"D",100,"Bats",0.5
38,"Simpson diversity",-1.952,103.25,20,"Island",1,"D",100,"Bats",0.5
38,"Species richness",-1.952,103.25,20,"Island",1,"D",100,"Bats",0.5
39,"Shannon diversity",-1.951,103.252,5,"Island",2,"AC",6,"Bats",0.75
39,"Simpson diversity",-1.951,103.252,5,"Island",2,"AC",6,"Bats",0.75
39,"Species richness",-1.951,103.252,5,"Island",2,"AC",6,"Bats",0.75
40,"Simpson diversity",-1.951,103.257,5,"Island",0,"Z",0,"Bats",0.5
40,"Shannon diversity",-1.951,103.257,5,"Island",0,"Z",0,"Bats",0.5
40,"Species richness",-1.951,103.257,5,"Island",0,"Z",0,"Bats",0.5
41,"Species richness",-1.953,103.244,10,"Island",1,"A",25,"Bats",0.25
41,"Simpson diversity",-1.953,103.244,10,"Island",1,"A",25,"Bats",0.25
41,"Shannon diversity",-1.953,103.244,10,"Island",1,"A",25,"Bats",0.25
42,"Species richness",-1.953,103.245,5,"Island",1,"D",6,"Bats",0.75
42,"Shannon diversity",-1.953,103.245,5,"Island",1,"D",6,"Bats",0.75
42,"Simpson diversity",-1.953,103.245,5,"Island",1,"D",6,"Bats",0.75
43,"Shannon diversity",-1.95,103.259,40,"Island",1,"C",400,"Bats",0.25
43,"Species richness",-1.95,103.259,40,"Island",1,"C",400,"Bats",0.25
43,"Simpson diversity",-1.95,103.259,40,"Island",1,"C",400,"Bats",0.25
44,"Simpson diversity",-1.953,103.248,5,"Island",3,"BEF",6,"Bats",0.25
44,"Shannon diversity",-1.953,103.248,5,"Island",3,"BEF",6,"Bats",0.25
44,"Species richness",-1.953,103.248,5,"Island",3,"BEF",6,"Bats",0.25
45,"Simpson diversity",-1.953,103.249,40,"Island",1,"E",400,"Bats",0.25
45,"Species richness",-1.953,103.249,40,"Island",1,"E",400,"Bats",0.25
45,"Shannon diversity",-1.953,103.249,40,"Island",1,"E",400,"Bats",0.25
46,"Species richness",-1.954,103.242,40,"Island",2,"AB",400,"Bats",0.5
46,"Simpson diversity",-1.954,103.242,40,"Island",2,"AB",400,"Bats",0.5
46,"Shannon diversity",-1.954,103.242,40,"Island",2,"AB",400,"Bats",0.5
47,"Shannon diversity",-1.954,103.244,20,"Island",2,"BE",100,"Bats",0.707
47,"Simpson diversity",-1.954,103.244,20,"Island",2,"BE",100,"Bats",0.667
47,"Species richness",-1.954,103.244,20,"Island",2,"BE",100,"Bats",0.75
48,"Shannon diversity",-1.954,103.245,10,"Island",3,"CEF",24,"Bats",0.25
48,"Simpson diversity",-1.954,103.245,10,"Island",3,"CEF",24,"Bats",0.25
48,"Species richness",-1.954,103.245,10,"Island",3,"CEF",24,"Bats",0.25
49,"Simpson diversity",-1.954,103.247,40,"Island",1,"F",400,"Bats",0.5
49,"Species richness",-1.954,103.247,40,"Island",1,"F",400,"Bats",0.5
49,"Shannon diversity",-1.954,103.247,40,"Island",1,"F",400,"Bats",0.5
50,"Simpson diversity",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Bats",0.75
50,"Species richness",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Bats",0.75
50,"Shannon diversity",-1.954,103.248,5,"Island",6,"ABCDEF",6,"Bats",0.75
51,"Shannon diversity",-1.954,103.249,20,"Island",1,"A",100,"Bats",0.5
51,"Species richness",-1.954,103.249,20,"Island",1,"A",100,"Bats",0.5
51,"Simpson diversity",-1.954,103.249,20,"Island",1,"A",100,"Bats",0.5
52,"Shannon diversity",-1.955,103.243,40,"Island",1,"D",400,"Bats",0.5
52,"Simpson diversity",-1.955,103.243,40,"Island",1,"D",400,"Bats",0.5
52,"Species richness",-1.955,103.243,40,"Island",1,"D",400,"Bats",0.5
53,"Simpson diversity",-1.943,103.255,10,"Control",,,0,"Bats",0.25
53,"Shannon diversity",-1.943,103.255,10,"Control",,,0,"Bats",0.25
53,"Species richness",-1.943,103.255,10,"Control",,,0,"Bats",0.25
54,"Species richness",-1.951,103.256,10,"Control",,,0,"Bats",0.5
54,"Simpson diversity",-1.951,103.256,10,"Control",,,0,"Bats",0.5
54,"Shannon diversity",-1.951,103.256,10,"Control",,,0,"Bats",0.5
55,"Species richness",-1.951,103.253,10,"Control",,,0,"Bats",0.5
55,"Shannon diversity",-1.951,103.253,10,"Control",,,0,"Bats",0.5
55,"Simpson diversity",-1.951,103.253,10,"Control",,,0,"Bats",0.5
56,"Shannon diversity",-1.955,103.246,10,"Control",,,0,"Bats",0.75
56,"Species richness",-1.955,103.246,10,"Control",,,0,"Bats",0.75
56,"Simpson diversity",-1.955,103.246,10,"Control",,,0,"Bats",0.75
1,"Species richness",-1.942,103.252,40,"Island",1,"A",400,"Birds",0.25
1,"Simpson diversity",-1.942,103.252,40,"Island",1,"A",400,"Birds",0.364
1,"Shannon diversity",-1.942,103.252,40,"Island",1,"A",400,"Birds",0.306
2,"Species richness",-1.942,103.253,20,"Island",3,"ACF",99,"Birds",0.375
2,"Shannon diversity",-1.942,103.253,20,"Island",3,"ACF",99,"Birds",0.433
2,"Simpson diversity",-1.942,103.253,20,"Island",3,"ACF",99,"Birds",0.486
3,"Shannon diversity",-1.943,103.252,20,"Island",2,"CD",100,"Birds",0.433
3,"Species richness",-1.943,103.252,20,"Island",2,"CD",100,"Birds",0.375
3,"Simpson diversity",-1.943,103.252,20,"Island",2,"CD",100,"Birds",0.486
4,"Simpson diversity",-1.943,103.253,10,"Island",1,"F",25,"Birds",0.729
4,"Shannon diversity",-1.943,103.253,10,"Island",1,"F",25,"Birds",0.613
4,"Species richness",-1.943,103.253,10,"Island",1,"F",25,"Birds",0.5
5,"Simpson diversity",-1.945,103.252,40,"Island",1,"B",400,"Birds",0.547
5,"Species richness",-1.945,103.252,40,"Island",1,"B",400,"Birds",0.375
5,"Shannon diversity",-1.945,103.252,40,"Island",1,"B",400,"Birds",0.459
6,"Species richness",-1.945,103.253,5,"Island",1,"E",6,"Birds",0.375
