"PlotID","Lat","Long","Size","Treatment","DivLev","Composition","Nb_planted_trees","Function","value"
28,-1.95,103.248,5,"Island",1,"B",6,"Oil palm yield",-918.655
29,-1.95,103.249,40,"Island",3,"BCD",399,"Oil palm yield",303.729
30,-1.95,103.253,20,"Island",1,"E",100,"Oil palm yield",-1191.293
31,-1.95,103.254,5,"Island",1,"C",6,"Oil palm yield",291.301
32,-1.95,103.256,10,"Island",2,"CF",24,"Oil palm yield",784.714
33,-1.95,103.257,20,"Island",3,"BDE",99,"Oil palm yield",-541.39
34,-1.951,103.245,10,"Island",2,"BD",24,"Oil palm yield",444.033
35,-1.952,103.247,40,"Island",0,"Z",0,"Oil palm yield",1820.361
36,-1.951,103.248,20,"Island",2,"AF",100,"Oil palm yield",-466.704
37,-1.951,103.249,10,"Island",0,"Z",0,"Oil palm yield",537.918
38,-1.952,103.25,20,"Island",1,"D",100,"Oil palm yield",-721.277
39,-1.951,103.252,5,"Island",2,"AC",6,"Oil palm yield",-957.206
40,-1.951,103.257,5,"Island",0,"Z",0,"Oil palm yield",-181.262
41,-1.953,103.244,10,"Island",1,"A",25,"Oil palm yield",140.839
42,-1.953,103.245,5,"Island",1,"D",6,"Oil palm yield",930.355
43,-1.95,103.259,40,"Island",1,"C",400,"Oil palm yield",1823.881
44,-1.953,103.248,5,"Island",3,"BEF",6,"Oil palm yield",-520.562
45,-1.953,103.249,40,"Island",1,"E",400,"Oil palm yield",-4512.215
46,-1.954,103.242,40,"Island",2,"AB",400,"Oil palm yield",1236.142
47,-1.954,103.244,20,"Island",2,"BE",100,"Oil palm yield",674.607
48,-1.954,103.245,10,"Island",3,"CEF",24,"Oil palm yield",1176.293
49,-1.954,103.247,40,"Island",1,"F",400,"Oil palm yield",-279.208
50,-1.954,103.248,5,"Island",6,"ABCDEF",6,"Oil palm yield",129.548
51,-1.954,103.249,20,"Island",1,"A",100,"Oil palm yield",-1484.778
52,-1.955,103.243,40,"Island",1,"D",400,"Oil palm yield",-362.462
53,-1.943,103.255,10,"Control",,,0,"Oil palm yield",-12.985
54,-1.951,103.256,10,"Control",,,0,"Oil palm yield",-80.625
55,-1.951,103.253,10,"Control",,,0,"Oil palm yield",-86.075
56,-1.955,103.246,10,"Control",,,0,"Oil palm yield",12.715
1,-1.942,103.252,40,"Island",1,"A",400,"Microclimate buffer",0.134
2,-1.942,103.253,20,"Island",3,"ACF",99,"Microclimate buffer",0.145
3,-1.943,103.252,20,"Island",2,"CD",100,"Microclimate buffer",0.147
